ChEMBL_ID,canonical_smiles,IC50,IC50_units,Assay_Description
CHEMBL115625,O=C(Nc1csc(-c2ccccc2Cl)n1)NN1CCOCC1,30000.0,nM,Ability to inhibit Cyclin-dependent kinase 5-p35.
CHEMBL119430,CCc1nc(NC(=O)NN2CCOCC2)cs1,100000.0,nM,Ability to inhibit Cyclin-dependent kinase 5-p35.
CHEMBL118253,O=C(Nc1csc(Cc2c(Cl)cccc2Cl)n1)NN(Cc1ccccc1)Cc1ccccc1,100000.0,nM,Ability to inhibit Cyclin-dependent kinase 5-p35.
CHEMBL115650,Cc1cccc(-c2nc(NC(=O)NN3CCOCC3)cs2)c1,30000.0,nM,Ability to inhibit Cyclin-dependent kinase 5-p35.
CHEMBL117950,CC(C)(C)ONC(=O)Nc1csc(Cc2c(Cl)cccc2Cl)n1,1000.0,nM,Ability to inhibit Cyclin-dependent kinase 5-p35.
CHEMBL115472,O=C(Nc1csc(Cc2c(Cl)cccc2Cl)n1)NN1CCCCC1,6000.0,nM,Ability to inhibit Cyclin-dependent kinase 5-p35.
CHEMBL116326,CNNCC(=O)Nc1csc(Cc2c(Cl)cccc2Cl)n1,100000.0,nM,Ability to inhibit Cyclin-dependent kinase 5-p35.
CHEMBL116949,O=C(Nc1csc(CS(=O)(=O)c2ccccn2)n1)NN1CCOCC1,10000.0,nM,Ability to inhibit Cyclin-dependent kinase 5-p35.
CHEMBL119530,O=C(NOc1ccccc1)Nc1csc(Cc2c(Cl)cccc2Cl)n1,900.0,nM,Ability to inhibit Cyclin-dependent kinase 5-p35.
CHEMBL115429,COc1ccc(OCc2nc(NC(=O)NN3CCOCC3)cs2)cc1,30000.0,nM,Ability to inhibit Cyclin-dependent kinase 5-p35.
CHEMBL327004,O=C(Nc1csc(Cc2c(Cl)cccc2Cl)n1)NN1CCOCC1,1000.0,nM,Ability to inhibit Cyclin-dependent kinase 5-p35.
CHEMBL333136,O=C(Nc1csc(-c2ccccc2)n1)NN1CCOCC1,9000.0,nM,Ability to inhibit Cyclin-dependent kinase 5-p35.
CHEMBL119796,CCONC(=O)Nc1csc(Cc2c(Cl)cccc2Cl)n1,5000.0,nM,Ability to inhibit Cyclin-dependent kinase 5-p35.
CHEMBL117778,CS(=O)(=O)Cc1nc(NC(=O)NOc2ccccc2)cs1,6000.0,nM,Ability to inhibit Cyclin-dependent kinase 5-p35.
CHEMBL325452,O=C(NOc1ccccc1)Nc1csc(Cc2ccccc2)n1,20000.0,nM,Ability to inhibit Cyclin-dependent kinase 5-p35.
CHEMBL117800,CONC(=O)Nc1csc(Cc2c(Cl)cccc2Cl)n1,9000.0,nM,Ability to inhibit Cyclin-dependent kinase 5-p35.
CHEMBL118043,O=C(Nc1csc(COc2ccccc2)n1)NN1CCOCC1,80000.0,nM,Ability to inhibit Cyclin-dependent kinase 5-p35.
CHEMBL334062,O=C(NOCc1c(F)c(F)c(F)c(F)c1F)Nc1csc(Cc2c(Cl)cccc2Cl)n1,100000.0,nM,Ability to inhibit Cyclin-dependent kinase 5-p35.
CHEMBL118685,C=CCONC(=O)Nc1csc(Cc2c(Cl)cccc2Cl)n1,6000.0,nM,Ability to inhibit Cyclin-dependent kinase 5-p35.
CHEMBL119041,O=C(NOC1CCCCO1)Nc1csc(Cc2c(Cl)cccc2Cl)n1,3000.0,nM,Ability to inhibit Cyclin-dependent kinase 5-p35.
CHEMBL117768,COC[C@H]1CCCN1NC(=O)Nc1csc(Cc2c(Cl)cccc2Cl)n1,100000.0,nM,Ability to inhibit Cyclin-dependent kinase 5-p35.
CHEMBL115649,Cc1ccc(-c2nc(NC(=O)NN3CCOCC3)cs2)cc1,100000.0,nM,Ability to inhibit Cyclin-dependent kinase 5-p35.
CHEMBL119812,O=C(Nc1csc(-c2cccs2)n1)NN1CCOCC1,30000.0,nM,Ability to inhibit Cyclin-dependent kinase 5-p35.
CHEMBL50226,Nc1nccc(-c2cc3ccccc3[nH]2)n1,130000.0,nM,Inhibition of human Cyclin-dependent kinase 5-p35nck5a
CHEMBL296682,Nc1nccc(-c2c[nH]c3c(Br)ccc(O)c23)n1,150.0,nM,Inhibition of human Cyclin-dependent kinase 5-p35nck5a
CHEMBL44545,Nc1nccc(-c2c[nH]c3cc(Br)cc(O)c23)n1,1000.0,nM,Inhibition of human Cyclin-dependent kinase 5-p35nck5a
CHEMBL46440,Nc1nccc(-c2c[nH]c3cc(Br)ccc23)n1,5500.0,nM,Inhibition of human Cyclin-dependent kinase 5-p35nck5a
CHEMBL48081,Nc1nccc(-c2cc3cc(Br)ccc3[nH]2)n1,300000.0,nM,Inhibition of human Cyclin-dependent kinase 5-p35nck5a
CHEMBL48082,Nc1nccc(-c2c[nH]c3ccccc23)n1,140000.0,nM,Inhibition of human Cyclin-dependent kinase 5-p35nck5a
CHEMBL296271,Nc1nccc(-c2c[nH]c3cc(Br)c(Br)cc23)n1,20000.0,nM,Inhibition of human Cyclin-dependent kinase 5-p35nck5a
CHEMBL44541,Nc1nccc(-c2c[nH]c3ccc(Br)cc23)n1,6000.0,nM,Inhibition of human Cyclin-dependent kinase 5-p35nck5a
CHEMBL14217,O=[N+]([O-])c1ccc(Cl)c(-c2[nH]ccc3c4ccccc4nc2-3)c1,1200000.0,nM,Inhibition of Cyclin-dependent kinase 5-p35nck5a
CHEMBL273547,Cc1[nH]cnc1-c1[nH]ccc2c3ccccc3nc1-2,5000.0,nM,Inhibition of Cyclin-dependent kinase 5-p35nck5a
CHEMBL14445,Cc1nccc2c1[nH]c1cc(F)ccc12,24000.0,nM,Inhibition of Cyclin-dependent kinase 5-p35nck5a
CHEMBL31574,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,570.0,nM,Inhibition of Cyclin-dependent kinase 5-p25nck5a
CHEMBL28,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,1600.0,nM,Inhibition of Cyclin-dependent kinase 5-p25nck5a
CHEMBL150,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,51000.0,nM,Inhibition of Cyclin-dependent kinase 5-p25nck5a
CHEMBL50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,23000.0,nM,Inhibition of Cyclin-dependent kinase 5-p25nck5a
CHEMBL151,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,3800.0,nM,Inhibition of Cyclin-dependent kinase 5-p25nck5a
CHEMBL117,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,3100.0,nM,Inhibition of Cyclin-dependent kinase 5-p25nck5a
CHEMBL179219,Cc1cnc2oc3ccc(O)cc3c2c1-c1ccccc1,,nM,Inhibitory concentration tested against Cyclin-dependent kinase 5; NA: not active
CHEMBL183408,COc1cnc2oc3ccc(O)cc3c2c1-c1ccccc1,6300.0,nM,Inhibitory concentration tested against Cyclin-dependent kinase 5
CHEMBL361537,CCOc1cnc2oc3ccc(O)cc3c2c1-c1ccccc1,5900.0,nM,Inhibitory concentration tested against Cyclin-dependent kinase 5
CHEMBL361565,Oc1ccc2oc3ncc(Cl)c(-c4ccccc4)c3c2c1,,nM,Inhibitory concentration tested against Cyclin-dependent kinase 5; NA: not active
CHEMBL361573,Oc1ccc2oc3ncc(Br)c(-c4ccccc4)c3c2c1,,nM,Inhibitory concentration tested against Cyclin-dependent kinase 5; NA: not active
CHEMBL191336,OCCCNc1cc(-c2ncnc(Nc3cccc(Cl)c3)n2)ccn1,3.0,nM,Inhibition of CDK5/p35
CHEMBL191144,C[C@H](C(=O)Nc1cc(C2CC2)[nH]n1)c1ccc(N2CCCC2=O)cc1,65.0,nM,Inhibition of cyclin-dependent kinase 5 p25 alpha (n=5)
CHEMBL191834,C[C@H](C(=O)Nc1cc(C2CC2)[nH]n1)c1ccc(N2CCOC2=O)cc1,57.0,nM,Inhibition of cyclin-dependent kinase 5 p25 alpha (n=4)
CHEMBL201382,O=C1c2c(c3c4ccccc4[nH]c3c3ccccc23)C(=O)N1CCc1c[nH]cn1,10000.0,nM,Inhibitory activity against CDK5/p25
CHEMBL383097,O=C1c2c(c3c4cc(O)ccc4[nH]c3c3ccccc23)C(=O)N1CCc1c[nH]cn1,10000.0,nM,Inhibitory activity against CDK5/p25
CHEMBL378359,CN1C(=O)c2c(c3c4ccccc4[nH]c3c3ccccc23)C1=O,10000.0,nM,Inhibitory activity against CDK5/p25
CHEMBL201418,O=C1c2c(c3c4cc(O)ccc4[nH]c3c3ccccc23)C(=O)N1C(CO)CO,10000.0,nM,Inhibitory activity against CDK5/p25
CHEMBL201114,O=C1c2c(c3c4ccccc4[nH]c3c3ccccc23)C(=O)N1C(CO)CO,10000.0,nM,Inhibitory activity against CDK5/p25
CHEMBL202979,CN(C)CCN1C(=O)c2c(c3c4cc(O)ccc4[nH]c3c3ccccc23)C1=O,10000.0,nM,Inhibitory activity against CDK5/p25
CHEMBL382056,CN(C)CCN1C(=O)c2c(c3c4ccccc4[nH]c3c3ccccc23)C1=O,10000.0,nM,Inhibitory activity against CDK5/p25
CHEMBL202935,O=C1NC(=O)c2c1c1ccccc1c1[nH]c3ccc(O)cc3c21,250.0,nM,Inhibitory activity against CDK5/p25
CHEMBL421087,O=C1NC(=O)c2c1c1ccccc1c1[nH]c3ccccc3c21,8500.0,nM,Inhibitory activity against CDK5/p25
CHEMBL197700,O=C1OC(=O)c2c1c1ccccc1c1[nH]c3ccc(O)cc3c21,10000.0,nM,Inhibitory activity against CDK5/p25
CHEMBL382906,O=C1OC(=O)c2c1c1ccccc1c1[nH]c3ccccc3c21,10000.0,nM,Inhibitory activity against CDK5/p25
CHEMBL380656,CN1C(=O)c2c(c3c4cc(O)ccc4[nH]c3c3ccccc23)C1=O,10000.0,nM,Inhibitory activity against CDK5/p25
CHEMBL383104,CCCCNC(=O)N1Cc2n[nH]c(NC(=O)Cc3ccc(N4CCCC4)cc3)c2C1,280.0,nM,Inhibitory activity against CDK5/p25
CHEMBL380946,CCCCNC(=O)N1Cc2n[nH]c(NC(=O)[C@@H](C)c3ccc4ccccc4c3)c2C1,150.0,nM,Inhibitory activity against CDK5/p25
CHEMBL379029,COCCNc1nc(-c2ccc(C=O)cc2)nc2c1ncn2C(C)C,1400.0,nM,Inhibition of Cdk5/p25
CHEMBL377061,COc1ccc(CNc2nc(-c3ccc(C=O)cc3)nc3c2ncn3C(C)C)cc1,1300.0,nM,Inhibition of Cdk5/p25
CHEMBL209404,COCCNc1nc(-c2ccc(C#N)s2)nc2c1ncn2C(C)C,2200.0,nM,Inhibition of Cdk5/p25
CHEMBL379618,COCCNc1nc(-c2ccc(C(C)=O)s2)nc2c1ncn2C(C)C,4900.0,nM,Inhibition of Cdk5/p25
CHEMBL379811,COCCNc1nc(-c2ccc(NC(=O)OC)cc2)nc2c1ncn2C(C)C,4000.0,nM,Inhibition of Cdk5/p25
CHEMBL207426,COCCNc1nc(-c2ccc(C(=O)NCCC#N)cc2)nc2c1ncn2C(C)C,3400.0,nM,Inhibition of Cdk5/p25
CHEMBL437325,CNC(=O)c1ccc(-c2nc(NCCOC)c3ncn(C(C)C)c3n2)cc1,1800.0,nM,Inhibition of Cdk5/p25
CHEMBL210839,COCCNc1nc(-c2ccc(NS(C)(=O)=O)cc2)nc2c1ncn2C(C)C,3000.0,nM,Inhibition of Cdk5/p25
CHEMBL208017,COCCNc1nc(-c2ccc(C(C)=O)cc2)nc2c1ncn2C(C)C,2800.0,nM,Inhibition of Cdk5/p25
CHEMBL438791,Cn1c(O)c(C2=Nc3ccccc3/C2=N\OCCn2ccnc2)c2cccc(Br)c21,10000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL211192,CCN(CC)CCO/N=C1/C(c2c(O)[nH]c3c(Br)cccc23)=Nc2ccccc21.Cl,10000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL253770,O=C1Nc2ccc(Br)cc2/C1=C1/Nc2ccccc2/C1=N\O,28.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL377536,CCN(CC)C(=O)O/N=C1/C(c2c(O)n(C)c3c(Br)cccc23)=Nc2ccccc21,10000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL378485,CCN(CC)C(=O)O/N=C1/C(c2c(O)[nH]c3c(Br)cccc23)=Nc2ccccc21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL211457,CCN(CC)CCO/N=C1/C(c2c(O)n(C)c3c(Br)cccc23)=Nc2ccccc21.Cl,10000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL378059,CCN(CC)CCO/N=C1/C(c2c(O)n(C)c3c(Br)cccc23)=Nc2ccccc21,10000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL379878,CCN(CC)CCO/N=C1/C(c2c(O)[nH]c3c(Br)cccc23)=Nc2ccccc21,10000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL213077,CN(C)CCO/N=C1/C(c2c(O)n(C)c3c(Br)cccc23)=Nc2ccccc21.Cl,10000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL208540,CN(C)CCO/N=C1/C(c2c(O)n(C)c3c(Br)cccc23)=Nc2ccccc21,10000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL378198,CN(C)CCO/N=C1/C(c2c(O)[nH]c3c(Br)cccc23)=Nc2ccccc21.Cl,10000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL212581,CN(C)CCO/N=C1/C(c2c(O)[nH]c3c(Br)cccc23)=Nc2ccccc21,10000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL379713,Cl.Cl.Oc1[nH]c2c(Br)cccc2c1C1=Nc2ccccc2/C1=N\OCCN1CCNCC1,10000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL379858,Oc1[nH]c2c(Br)cccc2c1C1=Nc2ccccc2/C1=N\OCCN1CCNCC1,10000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL211093,Cl.Oc1[nH]c2c(Br)cccc2c1C1=Nc2ccccc2/C1=N\OCCn1ccnc1,10000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL213401,Oc1[nH]c2c(Br)cccc2c1C1=Nc2ccccc2/C1=N\OCCn1ccnc1,10000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL379146,Cl.Cn1c(O)c(C2=Nc3ccccc3/C2=N\OCCN2CCOCC2)c2cccc(Br)c21,10000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL426693,Cn1c(O)c(C2=Nc3ccccc3/C2=N\OCCN2CCOCC2)c2cccc(Br)c21,10000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL213894,Cl.Oc1[nH]c2c(Br)cccc2c1C1=Nc2ccccc2/C1=N\OCCN1CCOCC1,10000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL211409,Oc1[nH]c2c(Br)cccc2c1C1=Nc2ccccc2/C1=N\OCCN1CCOCC1,10000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL377981,Cl.Cn1c(O)c(C2=Nc3ccccc3/C2=N\OCCN2CCCC2)c2cccc(Br)c21,10000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL210104,Cn1c(O)c(C2=Nc3ccccc3/C2=N\OCCN2CCCC2)c2cccc(Br)c21,10000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL211430,Cl.Oc1[nH]c2c(Br)cccc2c1C1=Nc2ccccc2/C1=N\OCCN1CCCC1,10000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL211429,Oc1[nH]c2c(Br)cccc2c1C1=Nc2ccccc2/C1=N\OCCN1CCCC1,10000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL384159,Cn1c(O)c(C2=Nc3ccccc3/C2=N\OCCBr)c2cccc(Br)c21,10000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL377410,Oc1[nH]c2c(Br)cccc2c1C1=Nc2ccccc2/C1=N\OCCBr,25000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL208832,CC(=O)O/N=C1/C(c2c(O)n(C)c3c(I)cccc23)=Nc2ccccc21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL378316,CO/N=C1/C(c2c(O)n(C)c3c(I)cccc23)=Nc2ccccc21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL374006,Cn1c(O)c(-c2[nH]c3ccccc3c2N=O)c2cccc(I)c21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL210161,Cn1c(O)c(C2=Nc3ccccc3C2=O)c2cccc(I)c21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL378937,CC(=O)O/N=C1/C(c2c(O)[nH]c3c(I)cccc23)=Nc2ccccc21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL213128,CO/N=C1/C(c2c(O)[nH]c3c(I)cccc23)=Nc2ccccc21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL209648,O=Nc1c(-c2c(O)[nH]c3c(I)cccc23)[nH]c2ccccc12,77000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL379160,O=C1C(c2c(O)[nH]c3c(I)cccc23)=Nc2ccccc21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL209968,CC(=O)O/N=C1/C(c2c(O)n(C)c3c(Br)cccc23)=Nc2ccccc21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL213506,CO/N=C1/C(c2c(O)n(C)c3c(Br)cccc23)=Nc2ccccc21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL213742,CC(=O)O/N=C1/C(c2c(O)[nH]c3c(Br)cccc23)=Nc2ccccc21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL436748,CO/N=C1/C(c2c(O)[nH]c3c(Br)cccc23)=Nc2ccccc21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL214173,O=C1C(c2c(O)[nH]c3c(Br)cccc23)=Nc2ccccc21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL378849,CC(=O)O/N=C1/C(c2c(O)n(C)c3c(Cl)cccc23)=Nc2ccccc21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL212465,CO/N=C1/C(c2c(O)n(C)c3c(Cl)cccc23)=Nc2ccccc21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL378205,Cn1c(O)c(-c2[nH]c3ccccc3c2N=O)c2cccc(Cl)c21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL380241,Cn1c(O)c(C2=Nc3ccccc3C2=O)c2cccc(Cl)c21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL380053,CC(=O)O/N=C1/C(c2c(O)[nH]c3c(Cl)cccc23)=Nc2ccccc21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL211205,CO/N=C1/C(c2c(O)[nH]c3c(Cl)cccc23)=Nc2ccccc21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL213650,O=Nc1c(-c2c(O)[nH]c3c(Cl)cccc23)[nH]c2ccccc12,6000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL378191,O=C1C(c2c(O)[nH]c3c(Cl)cccc23)=Nc2ccccc21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL379378,CC(=O)O/N=C1/C(c2c(O)n(C)c3c(F)cccc23)=Nc2ccccc21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL212057,CO/N=C1/C(c2c(O)n(C)c3c(F)cccc23)=Nc2ccccc21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL211445,Cn1c(O)c(-c2[nH]c3ccccc3c2N=O)c2cccc(F)c21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL378787,Cn1c(O)c(C2=Nc3ccccc3C2=O)c2cccc(F)c21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL210073,CC(=O)O/N=C1/C(c2c(O)[nH]c3c(F)cccc23)=Nc2ccccc21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL211593,CO/N=C1/C(c2c(O)[nH]c3c(F)cccc23)=Nc2ccccc21,100000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL212174,O=Nc1c(-c2c(O)[nH]c3c(F)cccc23)[nH]c2ccccc12,510.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL210446,O=C1C(c2c(O)[nH]c3c(F)cccc23)=Nc2ccccc21,10000.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL209849,CC(=O)O/N=C1\C(c2c(O)[nH]c3ccccc23)=Nc2ccccc21,700.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL211243,CO/N=C1\C(c2c(O)[nH]c3ccccc23)=Nc2ccccc21,400.0,nM,Inhibition of mammalian CDK5/p25
CHEMBL210229,CC(C)n1cnc2ccc3nc(C(=N)NCCN(C)C)sc3c2c1=O,4000.0,nM,Inhibition of CDK5/p25 in presence of 15 uM ATP
CHEMBL210474,CCn1cnc2ccc3nc(C(=N)NCCN(C)C)sc3c2c1=O,,,Inhibition of CDK5/p25 in presence of 15 uM ATP
CHEMBL378190,CC(C)NC(=N)c1nc2ccc3ncn(C(C)C)c(=O)c3c2s1,,,Inhibition of CDK5/p25 in presence of 15 uM ATP
CHEMBL208741,CCn1cnc2ccc3nc(C(=N)NC(C)C)sc3c2c1=O,,,Inhibition of CDK5/p25 in presence of 15 uM ATP
CHEMBL211803,COc1ccc(Cn2cnc3ccc4nc(C5=NCCN5)sc4c3c2=O)cc1,,,Inhibition of CDK5/p25 in presence of 15 uM ATP
CHEMBL211562,O=c1c2c(ccc3nc(C4=NCCN4)sc32)ncn1Cc1ccccc1,10000.0,nM,Inhibition of CDK5/p25 in presence of 15 uM ATP
CHEMBL210236,CC(C)CCn1cnc2ccc3nc(C4=NCCN4)sc3c2c1=O,10000.0,nM,Inhibition of CDK5/p25 in presence of 15 uM ATP
CHEMBL210919,CC(C)Cn1cnc2ccc3nc(C4=NCCN4)sc3c2c1=O,100000.0,nM,Inhibition of CDK5/p25 in presence of 15 uM ATP
CHEMBL210918,CCCn1cnc2ccc3nc(C4=NCCN4)sc3c2c1=O,100000.0,nM,Inhibition of CDK5/p25 in presence of 15 uM ATP
CHEMBL439502,CC(C)n1cnc2ccc3nc(C4=NCCN4)sc3c2c1=O,100000.0,nM,Inhibition of CDK5/p25 in presence of 15 uM ATP
CHEMBL209336,CCn1cnc2ccc3nc(C4=NCCN4)sc3c2c1=O,100000.0,nM,Inhibition of CDK5/p25 in presence of 15 uM ATP
CHEMBL378307,COc1ccc(CN2C=Nc3ccc4nc(C#N)sc4c3C2)cc1,,,Inhibition of CDK5/p25 in presence of 15 uM ATP
CHEMBL379530,N#Cc1nc2ccc3c(c2s1)CN(Cc1ccccc1)C=N3,10000.0,nM,Inhibition of CDK5/p25 in presence of 15 uM ATP
CHEMBL210385,CC(C)CCN1C=Nc2ccc3nc(C#N)sc3c2C1,100000.0,nM,Inhibition of CDK5/p25 in presence of 15 uM ATP
CHEMBL210330,CC(C)CN1C=Nc2ccc3nc(C#N)sc3c2C1,10000.0,nM,Inhibition of CDK5/p25 in presence of 15 uM ATP
CHEMBL210106,CCCN1C=Nc2ccc3nc(C#N)sc3c2C1,100000.0,nM,Inhibition of CDK5/p25 in presence of 15 uM ATP
CHEMBL210105,CC(C)N1C=Nc2ccc3nc(C#N)sc3c2C1,10000.0,nM,Inhibition of CDK5/p25 in presence of 15 uM ATP
CHEMBL210001,CCN1C=Nc2ccc3nc(C#N)sc3c2C1,27000.0,nM,Inhibition of CDK5/p25 in presence of 15 uM ATP
CHEMBL389447,CCCC(=O)Nc1nc(NCc2ccc(OC)cc2)c2ncn(C(C)C)c2n1,3900.0,nM,Inhibition of recombinant mammalian CDK5/p25 expressed in Escherichia coli
CHEMBL224112,COCCNc1nc(C(=O)NC(C)C)nc2c1ncn2C(C)C,13000.0,nM,Inhibition of recombinant mammalian CDK5/p25 expressed in Escherichia coli
CHEMBL387759,COCCNc1nc(C(=O)NCC(C)C)nc2c1ncn2C(C)C,16000.0,nM,Inhibition of recombinant mammalian CDK5/p25 expressed in Escherichia coli
CHEMBL224695,CC(C)NC(=O)c1nc(NCc2ccc(Cl)cc2)c2ncn(C(C)C)c2n1,2000.0,nM,Inhibition of recombinant mammalian CDK5/p25 expressed in Escherichia coli
CHEMBL225424,COc1ccc(CNc2nc(C(=O)NC(C)C)nc3c2ncn3C(C)C)cc1,2400.0,nM,Inhibition of recombinant mammalian CDK5/p25 expressed in Escherichia coli
CHEMBL224840,COc1ccc(CNc2nc(C(=O)NCC(C)C)nc3c2ncn3C(C)C)cc1,2100.0,nM,Inhibition of recombinant mammalian CDK5/p25 expressed in Escherichia coli
CHEMBL224261,COCCNc1nc(NC(=O)c2ccc(OC)cc2)nc2c1ncn2C(C)C,,,Inhibition of recombinant mammalian CDK5/p25 expressed in Escherichia coli
CHEMBL224387,COCCNc1nc(NC(=O)CC(C)=O)nc2c1ncn2C(C)C,,,Inhibition of recombinant mammalian CDK5/p25 expressed in Escherichia coli
CHEMBL224386,COCCNc1nc(NC(=O)C(C)C)nc2c1ncn2C(C)C,7000.0,nM,Inhibition of recombinant mammalian CDK5/p25 expressed in Escherichia coli
CHEMBL224694,COCCNc1nc(NC(=O)CC(C)C)nc2c1ncn2C(C)C,6600.0,nM,Inhibition of recombinant mammalian CDK5/p25 expressed in Escherichia coli
CHEMBL225056,CCCC(=O)Nc1nc(NCCOC)c2ncn(C(C)C)c2n1,10000.0,nM,Inhibition of recombinant mammalian CDK5/p25 expressed in Escherichia coli
CHEMBL224927,COc1ccc(C(=O)Nc2nc(NCc3ccc(Cl)cc3)c3ncn(C(C)C)c3n2)cc1,19000.0,nM,Inhibition of recombinant mammalian CDK5/p25 expressed in Escherichia coli
CHEMBL225096,CC(C)C(=O)Nc1nc(NCc2ccc(Cl)cc2)c2ncn(C(C)C)c2n1,900.0,nM,Inhibition of recombinant mammalian CDK5/p25 expressed in Escherichia coli
CHEMBL425121,CC(C)CC(=O)Nc1nc(NCc2ccc(Cl)cc2)c2ncn(C(C)C)c2n1,1600.0,nM,Inhibition of recombinant mammalian CDK5/p25 expressed in Escherichia coli
CHEMBL225645,CCCC(=O)Nc1nc(NCc2ccc(Cl)cc2)c2ncn(C(C)C)c2n1,2100.0,nM,Inhibition of recombinant mammalian CDK5/p25 expressed in Escherichia coli
CHEMBL225055,COc1ccc(CNc2nc(NC(=O)c3ccc(OC)cc3)nc3c2ncn3C(C)C)cc1,3400.0,nM,Inhibition of recombinant mammalian CDK5/p25 expressed in Escherichia coli
CHEMBL224257,COc1ccc(CNc2nc(NC(=O)CC(C)=O)nc3c2ncn3C(C)C)cc1,1600.0,nM,Inhibition of recombinant mammalian CDK5/p25 expressed in Escherichia coli
CHEMBL225043,COc1ccc(CNc2nc(NC(=O)C(C)C)nc3c2ncn3C(C)C)cc1,1300.0,nM,Inhibition of recombinant mammalian CDK5/p25 expressed in Escherichia coli
CHEMBL225002,COc1ccc(CNc2nc(NC(=O)CC(C)C)nc3c2ncn3C(C)C)cc1,1800.0,nM,Inhibition of recombinant mammalian CDK5/p25 expressed in Escherichia coli
CHEMBL231568,CNC(=O)c1cc(Oc2ccc3oc(Nc4ccc(Cl)c(OC[C@@H]5CCCN5C)c4)nc3c2)ccn1,40000.0,nM,Inhibition of CDK5p25
CHEMBL243209,Nn1c(S)nnc1Cc1csc(NC(=O)CCl)n1,390.0,nM,Inhibition of human cdk5/p25 by SPA
CHEMBL234743,CC(=O)Nn1c(Cc2csc(NCCC(=O)O)n2)nnc1SCC#N,641.0,nM,Inhibition of human cdk5/p25 by SPA
